,channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber,e_m_lower,e_m_upper,e_y_lower,e_y_upper,age,v_per_view,age_cate
476,Entertainment,VN,2015-12-13,$24.6K - $393.1K,$294.9K - $4.7M,A,47.0,83262,1999818,562,1783106633,24,98284800,CreativeKids,24600.0,393100.0,294900.0,4700000.0,3,3172787.603202847,0
477,Entertainment,VN,2014-12-17,$0 - $0,$0 - $0,A,-7.0,193243,3931563,6334,2229375101,-115,-16907880,ĐÔNG TÂY PROMOTION OFFICIAL,0.0,0.0,0.0,0.0,4,351969.545468898,1
478,Entertainment,GB,2014-09-02,$23.9K - $382.8K,$287.1K - $4.6M,A,54.0,395807,6342668,117,1219211698,36,95697300,Talking Angela,23900.0,382800.0,287100.0,4600000.0,4,10420612.803418804,1
479,Entertainment,CA,2016-09-28,$23K - $367.8K,$275.8K - $4.4M,A,24.0,161521,1551979,370,542513074,28,91944600,FamousTubeKIDS,23000.0,367800.0,275800.0,4400000.0,2,1466251.5513513514,0
480,Entertainment,JP,2014-08-13,$22.2K - $356K,$267K - $4.3M,A,20.0,248957,1685216,2042,775334931,13,88999800,タキロン Takilong Kids' Toys,22200.0,356000.0,267000.0,4300000.0,4,379693.89373163565,1
481,Entertainment,CO,2016-07-27,$18K - $287.4K,$215.5K - $3.4M,A,239.0,157279,717195,4121,337567755,201,71845500,Canal RCN,18000.0,287400.0,215500.0,3400000.0,2,81914.03906818734,0
482,Entertainment,US,2016-08-07,$30.9K - $494.4K,$370.8K - $5.9M,A,-20.0,424360,2081538,567,670498735,-4,123598500,Weird Stuff,30900.0,494400.0,370800.0,5900000.0,2,1182537.4514991182,0
483,Entertainment,KR,2015-02-06,$28.1K - $449.1K,$336.8K - $5.4M,A,-1.0,523104,13636022,1386,3136237708,14,112272000,1MILLION Dance Studio,28100.0,449100.0,336800.0,5400000.0,3,2262797.7691197693,0
484,Entertainment,SG,2015-08-03,$3.2K - $52K,$39K - $623.9K,A,-8.0,50023,639474,79,151912783,41,12998850,LodiFilms Hindi,3200.0,52000.0,39000.0,623900.0,3,1922946.6202531646,0
485,Entertainment,EG,2014-10-31,$28K - $447.7K,$335.8K - $5.4M,A,431.0,579307,3478559,187,1134824871,175,111920100,Mohamed Ramadan,28000.0,447700.0,335800.0,5400000.0,4,6068582.197860963,1
486,Entertainment,,2016-02-26,$31K - $496.5K,$372.4K - $6M,A,-19.0,354664,3707771,1671,463120385,28,124128900,Sun TV,31000.0,496500.0,372400.0,6000000.0,2,277151.6367444644,0
487,Entertainment,JP,2012-08-31,$31.1K - $497.6K,$373.2K - $6M,A,49.0,194818,7476039,1821,5870174125,45,124389300,はじめしゃちょー（hajime）,31100.0,497600.0,373200.0,6000000.0,6,3223599.1900054915,1
488,Entertainment,US,2015-07-13,$23.5K - $376.4K,$282.3K - $4.5M,A,49.0,176461,1816088,85,734180205,63,94107900,Twins & Toys,23500.0,376400.0,282300.0,4500000.0,3,8637414.176470589,0
489,Entertainment,TR,2017-03-16,$24.3K - $389.1K,$291.8K - $4.7M,A,12.0,69725,1472474,1263,1952690263,36,97271100,Selena,24300.0,389100.0,291800.0,4700000.0,1,1546073.0506730007,0
490,Entertainment,VN,2014-05-05,$13.9K - $222K,$166.5K - $2.7M,A,,0,0,264,125254603,888,55510500,Bé Cá Đồ Chơi,13900.0,222000.0,166500.0,2700000.0,4,474449.2537878788,1
491,Entertainment,US,2015-07-06,$31.6K - $504.8K,$378.6K - $6.1M,A,-13.0,165230,3273377,115,2458327301,-2,126210000,Blippi Toys,31600.0,504800.0,378600.0,6100000.0,3,21376759.139130436,0
492,Entertainment,US,2006-03-26,$27.9K - $446.8K,$335.1K - $5.4M,A,16.0,418086,6298903,275,1236278194,29,111693000,Chad Wild Clay,27900.0,446800.0,335100.0,5400000.0,12,4495557.069090909,2
493,Entertainment,IN,2017-06-16,$33.2K - $530.8K,$398.1K - $6.4M,A,165.0,427763,1450964,76,436466019,137,132693000,Bindas Fun,33200.0,530800.0,398100.0,6400000.0,1,5742973.934210527,0
494,Entertainment,IN,2013-05-03,$29.5K - $472.8K,$354.6K - $5.7M,A,18.0,255920,7584348,3322,3416072737,4,118195800,Haryanvi Maina,29500.0,472800.0,354600.0,5700000.0,5,1028318.1026490066,1
495,Entertainment,US,2006-02-27,$32.5K - $519.6K,$389.7K - $6.2M,A,8.0,334015,5792666,450,2027473526,10,129908400,Stephen Sharer,32500.0,519600.0,389700.0,6200000.0,12,4505496.724444444,2
496,Entertainment,GB,2014-11-24,$21.6K - $345.4K,$259K - $4.1M,A,32.0,277377,8661343,556,2877449116,38,86341800,Emily Tube,21600.0,345400.0,259000.0,4099999.9999999995,4,5175268.194244605,1
497,Entertainment,VN,2014-12-17,$29K - $464.5K,$348.4K - $5.6M,A,19.0,266379,4095599,2827,2800128395,18,116125200,DIEN QUAN Comedy / Hài,29000.0,464500.0,348400.0,5600000.0,4,990494.6568800849,1
498,Entertainment,TR,2017-09-28,$29.2K - $468K,$351K - $5.6M,A,-16.0,203160,912497,198,353562918,29,116998800,FatihSelim Tube,29200.0,468000.0,351000.0,5600000.0,1,1785671.303030303,0
499,Entertainment,GB,2010-07-07,$28.4K - $454.6K,$341K - $5.5M,A,38.0,107948,4976596,2103,5850256160,20,113655600,DisneyJuniorUK,28400.0,454600.0,341000.0,5500000.0,8,2781862.177841179,1
500,Entertainment,US,2006-09-20,$33.3K - $532.4K,$399.3K - $6.4M,A,35.0,175347,1753043,6014,1571940168,36,133101000,A&E,33300.0,532400.0,399300.0,6400000.0,12,261380.14100432323,2
501,Entertainment,GB,2014-09-22,$47.1K - $753K,$564.7K - $9M,A,40.0,568775,10888563,709,6676689359,4,188245800,Mister Max,47100.0,753000.0,564700.0,9000000.0,4,9417051.282087447,1
502,Entertainment,TR,2014-12-23,$27.5K - $439.6K,$329.7K - $5.3M,A,41.0,144186,3556084,13461,3725936179,46,109898700,atv,27500.0,439600.0,329700.0,5300000.0,4,276794.90223608946,1
503,Entertainment,IN,2006-05-19,$31.3K - $501.3K,$376K - $6M,A,12.0,401193,8366401,7657,1996681823,7,125324100,StarPlus,31300.0,501300.0,376000.0,6000000.0,12,260765.55086848635,2
504,Entertainment,US,2016-04-23,$29.6K - $474.1K,$355.6K - $5.7M,A,-19.0,297293,4329211,563,1637209475,-6,118521600,Princess Bánh Bao,29600.0,474100.0,355600.0,5700000.0,2,2908009.724689165,0
505,Entertainment,KR,2013-12-23,$29.9K - $478.4K,$358.8K - $5.7M,A,0.0,178141,5172348,11667,3657425932,17,119604600,Mnet Official,29900.0,478400.0,358800.0,5700000.0,5,313484.6946087255,1
506,Entertainment,IN,2007-11-08,$32.2K - $515.8K,$386.8K - $6.2M,A,4.0,182589,3710254,54446,2793093071,9,128939700,Zee Marathi,32200.000000000004,515799.99999999994,386800.0,6200000.0,11,51300.24374609705,2
507,Entertainment,EG,2012-10-14,$29.3K - $469.5K,$352.1K - $5.6M,A,31.0,162865,5380212,11362,3351063236,21,117381600,MBC مصر,29300.0,469500.0,352100.0,5600000.0,6,294936.0355571202,1
508,Entertainment,US,2014-05-23,$26.4K - $422.1K,$316.5K - $5.1M,A,25.0,1164284,8558854,445,568413058,44,105513600,Tfue,26400.0,422100.0,316500.0,5100000.0,4,1277332.7146067417,1
509,Entertainment,DE,2015-02-03,$34.8K - $556.4K,$417.3K - $6.7M,A,-12.0,368259,4446354,85,1006754158,5,139096800,SurpriseJoe,34800.0,556400.0,417300.0,6700000.0,3,11844166.564705882,0
510,Entertainment,FR,2014-08-12,$15.2K - $244K,$183K - $2.9M,A,-22.0,60,283480,177,94397709,30,60995400,Emala Jiss,15200.0,244000.0,183000.0,2900000.0,4,533320.3898305085,1
511,Entertainment,US,2014-10-29,$38.6K - $616.9K,$462.7K - $7.4M,A,9.0,399543,7437508,931,2278361101,11,154225200,Cut,38600.0,616900.0,462700.0,7400000.0,4,2447219.2277121376,1
512,Entertainment,US,2006-07-18,$33.2K - $530.7K,$398K - $6.4M,A,2.0,262616,12955701,1252,5206550292,19,132675300,Guava Juice,33200.0,530700.0,398000.0,6400000.0,12,4158586.495207668,2
513,Entertainment,IN,2008-08-26,$31.9K - $511.2K,$383.4K - $6.1M,A,13.0,217491,3764698,31671,2039860665,18,127798200,Zee Tamil,31900.0,511200.0,383400.0,6100000.0,10,64407.83887468031,2
514,Entertainment,US,2015-03-12,$32.3K - $517.1K,$387.9K - $6.2M,A,26.0,237120,5034905,2874,2808031533,23,129283800,Caso Cerrado,32299.999999999996,517100.0,387900.0,6200000.0,3,977046.4624217119,0
515,Entertainment,US,2006-06-29,$22.9K - $366.1K,$274.6K - $4.4M,A,171.0,364242,9483939,1934,2250551641,516,91534500,America's Got Talent,22900.0,366100.0,274600.0,4400000.0,12,1163677.1670113753,2
