,channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber,e_m_lower,e_m_upper,e_y_lower,e_y_upper,age,v_per_view,age_cate
1658,Nonprofit,KG,2015-02-08,$462 - $7.4K,$5.5K - $88.7K,B,68.0,8998,165708,1100,42931797,104,1848600,Адыл Акжол уулу,462.0,7400.0,5500.0,88700.0,3,39028.906363636364,0
1659,Nonprofit,,2012-08-28,$612 - $9.8K,$7.3K - $117.4K,B,-34.0,7535,122743,38,31735181,185,2446110,mahdi xurshid,612.0,9800.0,7300.0,117400.0,6,835136.3421052631,1
1660,Nonprofit,US,2008-05-20,$624 - $10K,$7.5K - $119.9K,B,0.0,4652,153253,16926,96095733,1,2497410,SAT7ARABIC,624.0,10000.0,7500.0,119900.0,10,5677.403580290677,2
1661,Nonprofit,,2016-06-06,$657 - $10.5K,$7.9K - $126.1K,B,91.0,1639,74023,538,55732843,-11,2392021,Gobierno de San Luis,657.0,10500.0,7900.0,126100.0,2,103592.64498141264,0
1662,Nonprofit,IN,2016-12-16,$673 - $10.8K,$8.1K - $129.2K,B,13.0,14181,180434,875,37535617,23,2692290,Bansuri,673.0,10800.0,8100.0,129199.99999999999,2,42897.848,0
1663,Nonprofit,US,2012-08-14,$612 - $9.8K,$7.3K - $117.5K,B,-11.0,4803,127951,702,47314969,-6,2448330,PETA Latino,612.0,9800.0,7300.0,117500.0,6,67400.24074074074,1
1664,Nonprofit,KW,2008-08-27,$671 - $10.7K,$8.1K - $128.9K,B,-8.0,3477,118364,316,114292910,14,2685600,NBKGroup,671.0,10700.0,8100.0,128900.0,10,361686.4240506329,2
1665,Nonprofit,EG,2014-03-22,$757 - $12.1K,$9.1K - $145.4K,B,47.0,16004,123039,1394,24479739,41,3029700,AlNahar Noor,757.0,12100.0,9100.0,145400.0,4,17560.78837876614,1
1666,Nonprofit,,2012-08-02,$609 - $9.7K,$7.3K - $116.9K,B,263.0,11930,201187,172,40496357,219,2434740,Дядя Давид,609.0,9700.0,7300.0,116900.0,6,235443.93604651163,1
1667,Nonprofit,UA,2015-09-28,$492 - $7.9K,$5.9K - $94.5K,B,188.0,15992,329509,707,54189723,137,1968150,"САД, ОГОРОД,СВОИМИ…",492.0,7900.0,5900.0,94500.0,3,76647.41584158415,0
1668,Nonprofit,US,2007-04-25,$566 - $9.1K,$6.8K - $108.7K,B,-14.0,5646,90690,1016,24356616,13,2265570,YAFTV,566.0,9100.0,6800.0,108700.0,11,23973.047244094487,2
1669,Nonprofit,IN,2015-12-23,$0 - $0,$0 - $0,B,-4.0,30180,235063,1083,19834517,-266,-2952240,Lakshya TV,0.0,0.0,0.0,0.0,3,18314.420129270544,0
1670,Nonprofit,,2016-05-15,$617 - $9.9K,$7.4K - $118.5K,B,25.0,23825,526562,595,64880606,16,2467800,Haramain Support,617.0,9900.0,7400.0,118500.0,2,109043.03529411765,0
1671,Nonprofit,RU,2009-03-17,$607 - $9.7K,$7.3K - $116.6K,B,52.0,4087,30497,23018,41398068,88,2429640,ОТВ Екатеринбург,607.0,9700.0,7300.0,116600.0,9,1798.5084716308975,2
1672,Nonprofit,BY,2012-08-28,$596 - $9.5K,$7.1K - $114.4K,B,47.0,10904,171436,1871,76384307,26,2383260,Onliner Belarus,596.0,9500.0,7100.0,114400.0,6,40825.391234633884,1
1673,Nonprofit,,2014-07-25,$0 - $0,$0 - $0,B,-36.0,83,10006,946,5332951,-128,-635880,Happy Life,0.0,0.0,0.0,0.0,4,5637.368921775898,1
1674,Nonprofit,IN,2010-02-28,$617 - $9.9K,$7.4K - $118.5K,B,1.0,8071,55931,13,16199503,10,2469720,Gagandeep Singh,617.0,9900.0,7400.0,118500.0,8,1246115.6153846155,1
1675,Nonprofit,BD,2009-06-21,$610 - $9.8K,$7.3K - $117.2K,B,7.0,14792,201478,636,82030235,35,2441850,UNICEF Bangladesh,610.0,9800.0,7300.0,117200.0,9,128978.35691823899,2
1676,Nonprofit,US,2016-03-13,$618 - $9.9K,$7.4K - $118.7K,B,-65.0,3790,333444,97,201297013,-58,2473830,Воры в Законе тюрьма и…,618.0,9900.0,7400.0,118700.0,2,2075226.93814433,0
1677,Nonprofit,,2012-09-24,$605 - $9.7K,$7.3K - $116.2K,B,51.0,36859,514810,152,31308002,38,2420220,Transformation Church,605.0,9700.0,7300.0,116200.0,6,205973.69736842104,1
1678,Nonprofit,KZ,2014-01-14,$658 - $10.5K,$7.9K - $126.4K,B,90.0,17765,216974,187,39887041,120,2632470,Ruslan Zhanpeissov,658.0,10500.0,7900.0,126400.0,5,213299.6844919786,1
1679,Nonprofit,CO,2015-03-27,$560 - $9K,$6.7K - $107.4K,B,303.0,9731,196380,1388,51726673,95,2238060,Informativo Mega,560.0,9000.0,6700.0,107400.0,3,37267.05547550432,0
1680,Nonprofit,BR,2011-10-13,$783 - $12.5K,$9.4K - $150.4K,B,2.0,9769,139476,331,64285600,4,3132810,sergio valério do sacramento,783.0,12500.0,9400.0,150400.0,7,194216.31419939577,1
1681,Nonprofit,BA,2009-06-19,$724 - $11.6K,$8.7K - $138.9K,B,11.0,3706,70390,154,55583497,1,2894490,Lara Of Bosnia Save Our Planet,724.0,11600.0,8700.0,138900.0,9,360931.7987012987,2
1682,Nonprofit,US,2008-09-22,$777 - $12.4K,$9.3K - $149.2K,B,-78.0,5719,237221,1093,122689374,2,3108630,Global Citizen,777.0,12400.0,9300.0,149200.0,10,112250.11344922232,2
1683,Nonprofit,ID,2015-08-25,$559 - $8.9K,$6.7K - $107.3K,B,42.0,16707,156552,124,69058061,32,2235210,SETIAKU Indonesia,559.0,8900.0,6700.0,107300.0,3,556919.8467741936,0
1684,Nonprofit,RU,2009-05-26,$781 - $12.5K,$9.4K - $150K,B,59.0,8549,113225,114,57739170,27,3125490,RUTV1,781.0,12500.0,9400.0,150000.0,9,506483.94736842107,2
1685,Nonprofit,RU,2015-07-11,$668 - $10.7K,$8K - $128.3K,B,27.0,7657,189254,1577,69461706,49,2672520,ZAMONA UZ tv,668.0,10700.0,8000.0,128300.00000000001,3,44046.73811033608,0
1686,Nonprofit,TH,2015-06-01,$642 - $10.3K,$7.7K - $123.2K,B,38.0,15849,165857,466,29633742,49,2567610,สามอาชีพ…,642.0,10300.0,7700.0,123200.0,3,63591.72103004292,0
1687,Nonprofit,US,2012-06-30,$639 - $10.2K,$7.7K - $122.7K,B,91.0,33629,389179,431,50011084,36,2556870,असली प्रैक्टिकल…,639.0,10200.0,7700.0,122700.0,6,116034.99767981439,1
1688,Nonprofit,RU,2010-12-31,$797 - $12.7K,$9.6K - $152.9K,B,1.0,6792,81882,749,62324418,16,3186450,Сергей Кит,797.0,12700.0,9600.0,152900.0,8,83210.17089452603,1
1689,Nonprofit,ES,2012-01-19,$887 - $14.2K,$10.6K - $170.3K,B,520.0,7002,12579,677,5424689,465,3547560,Santuario Vegan,887.0,14200.0,10600.0,170300.0,7,8012.834564254062,1
1690,Nonprofit,BR,2011-09-23,$754 - $12.1K,$9K - $144.7K,B,9.0,12555,422504,1188,131951938,23,3014160,MensagemdeDeus1,754.0,12100.0,9000.0,144700.0,7,111070.65488215488,1
1691,Nonprofit,,2014-04-03,$613 - $9.8K,$7.4K - $117.7K,B,87.0,23665,108730,428,12700369,95,2452170,I Support Baba Ramdev,613.0,9800.0,7400.0,117700.0,4,29673.75934579439,1
1692,Nonprofit,ES,2008-05-16,$854 - $13.7K,$10.2K - $163.9K,B,354.0,1642,20900,2707,81107998,1,3415230,laCaixaTV,854.0,13700.0,10200.0,163900.0,10,29962.3191725157,2
1693,Nonprofit,GB,2007-12-29,$824 - $13.2K,$9.9K - $158.1K,B,2.0,16993,240312,107,56713442,11,3294510,Nitin Tomer,824.0,13200.0,9900.0,158100.0,11,530032.1682242991,2
1694,Nonprofit,TR,2013-05-28,$903 - $14.5K,$10.8K - $173.5K,B,7.0,27617,1204840,443,124369669,12,3613620,Hayalhanem,903.0,14500.0,10800.0,173500.0,5,280744.1738148984,1
1695,Nonprofit,AU,2012-01-16,$769 - $12.3K,$9.2K - $147.6K,B,4.0,7065,178315,39,48070129,29,3074520,Hillsong En Español,769.0,12300.0,9200.0,147600.0,7,1232567.4102564103,1
1696,Nonprofit,UA,2013-01-31,$823 - $13.2K,$9.9K - $158K,B,-30.0,12053,246976,134,39519433,-11,3291840,Ольга Шарий,823.0,13200.0,9900.0,158000.0,5,294921.1417910448,1
1697,Nonprofit,US,2016-07-25,$622 - $9.9K,$7.5K - $119.3K,B,-18.0,16964,95749,372,11846977,16,2486010,Sinatra_Says,622.0,9900.0,7500.0,119300.0,2,31846.712365591397,0
1698,Nonprofit,TW,2016-05-24,$844 - $13.5K,$10.1K - $162K,B,-2.0,2673,60340,2920,55615709,4,3374280,大愛網路劇場 DaAiDrama,844.0,13500.0,10100.0,162000.0,2,19046.475684931505,0
1699,Nonprofit,US,2006-08-19,$705 - $11.3K,$8.5K - $135.3K,B,7.0,12762,43832,71,18721325,2,2819340,Shelley Lubben,705.0,11300.0,8500.0,135300.0,12,263680.6338028169,2
1700,Nonprofit,US,2008-12-15,$552 - $8.8K,$6.6K - $106K,B,150.0,6108,179824,1218,114765047,108,2208360,roadcontrol,552.0,8800.0,6600.0,106000.0,10,94224.17651888341,2
1701,Nonprofit,US,2013-11-25,$792 - $12.7K,$9.5K - $152.1K,B,-46.0,2856,67610,1418,68615095,-20,3167850,jose pacheco,792.0,12700.0,9500.0,152100.0,5,48388.64245416079,1
1702,Nonprofit,IN,2009-10-08,$869 - $13.9K,$10.4K - $166.8K,B,23.0,8360,100650,4,38157536,15,3475410,soumya ranjan swain,869.0,13900.0,10400.0,166800.0,9,9539384.0,2
1703,Nonprofit,US,2015-08-28,$880 - $14.1K,$10.6K - $168.9K,B,-13.0,3639,110815,575,126500656,2,3518790,Rise Up Society Fan Page,880.0,14100.0,10600.0,168900.0,3,220001.14086956522,0
1704,Nonprofit,US,2006-04-21,$879 - $14.1K,$10.5K - $168.8K,B,7.0,9196,407154,5385,469563475,15,3516570,SEKAMOKE FOUNDATION A US 501c3 Tax Charity,879.0,14100.0,10500.0,168800.0,12,87198.41689879294,2
1705,Nonprofit,IN,2013-09-23,$815 - $13K,$9.8K - $156.5K,B,15.0,56880,687670,3054,61344987,2,3260970,Acharya Balkrishna,815.0,13000.0,9800.0,156500.0,5,20086.767190569746,1
1706,Nonprofit,,2013-02-28,$924 - $14.8K,$11.1K - $177.4K,B,-21.0,4102,11817,8,12820536,-15,3695460,ToiletThink,924.0,14800.0,11100.0,177400.0,5,1602567.0,1
1707,Nonprofit,US,2007-12-31,$1.8K - $28.9K,$21.7K - $346.6K,B,-40.0,55508,487339,404,48447163,-32,7219980,Bangla InfoTube,1800.0,28900.0,21700.0,346600.0,11,119918.72029702971,2
1708,Nonprofit,NZ,2017-05-09,$966 - $15.5K,$11.6K - $185.4K,B,117.0,28913,154863,1475,24363831,110,3862920,Harnek Singh New Zealand,966.0,15500.0,11600.0,185400.0,1,16517.851525423728,0
1709,Nonprofit,BR,2015-12-02,$964 - $15.4K,$11.6K - $185.1K,B,,0,0,1579,46286720,7,3857160,Telenovelas Mexicanas World,964.0,15400.0,11600.0,185100.0,3,29313.94553514883,0
1710,Nonprofit,RU,2012-09-10,$782 - $12.5K,$9.4K - $150.1K,B,57.0,15640,134064,6554,30855824,43,3126180,Телеканал «СПАС»,782.0,12500.0,9400.0,150100.0,6,4707.937747940189,1
1711,Nonprofit,SA,2008-12-29,$610 - $9.8K,$7.3K - $117K,B,-33.0,5189,422533,9197,117113109,78,2438490,فورشباب 4shbab,610.0,9800.0,7300.0,117000.0,10,12733.838099380233,2
1712,Nonprofit,IN,2009-05-09,$722 - $11.5K,$8.7K - $138.5K,B,509.0,2611,4900,13,4717118,442,2886150,Susan Malakar,722.0,11500.0,8700.0,138500.0,9,362855.23076923075,2
1713,Nonprofit,PK,2008-05-21,$962 - $15.4K,$11.5K - $184.7K,B,18.0,26453,428997,46,44379204,5,3847860,TheFinalRevelation,962.0,15400.0,11500.0,184700.0,10,964765.304347826,2
1714,Nonprofit,CA,2011-08-01,$882 - $14.1K,$10.6K - $169.3K,B,22.0,11531,216787,905,52377346,64,3526830,Samira Arbid,882.0,14100.0,10600.0,169300.0,7,57875.52044198895,1
1715,Nonprofit,RU,2014-03-29,$915 - $14.6K,$11K - $175.7K,B,106.0,13452,93899,179,24003350,189,3660840,ЗВУКИ ММА,915.0,14600.0,11000.0,175700.0,4,134096.92737430168,1
1716,Nonprofit,BR,2017-03-29,$911 - $14.6K,$10.9K - $174.8K,B,8.0,38617,657011,532,45396480,39,3642480,Minuto Com Deus Animações,911.0,14600.0,10900.0,174800.0,1,85331.72932330827,0
1717,Nonprofit,SA,2012-07-11,$937 - $15K,$11.2K - $179.9K,B,12.0,33033,627716,17413,106500386,16,3747810,haramaininfo,937.0,15000.0,11200.0,179900.0,6,6116.142307471429,1
1718,Nonprofit,JP,2016-04-26,$901 - $14.4K,$10.8K - $172.9K,B,-17.0,4177,124407,192,94971509,-10,3602370,Barrikada,901.0,14400.0,10800.0,172900.0,2,494643.2760416667,0
1719,Nonprofit,RU,2015-02-17,$779 - $12.5K,$9.4K - $149.6K,B,20.0,14023,407498,68,67885878,23,3116760,ЛЕВ ПРОТИВ 2 канал,779.0,12500.0,9400.0,149600.0,3,998321.7352941176,0
1720,Nonprofit,IN,2015-02-27,$979 - $15.7K,$11.7K - $188K,B,9.0,11737,189563,199,56595905,12,3916170,ॐ नमः शिवाय,979.0,15700.0,11700.0,188000.0,3,284401.5326633166,0
1721,Nonprofit,,2010-12-27,$1.1K - $17.9K,$13.4K - $214.4K,B,-35.0,21865,535671,597,82202224,-3,4466940,Derrick Jaxn,1100.0,17900.0,13400.0,214400.0,8,137692.16750418762,1
1722,Nonprofit,US,2009-12-23,$967 - $15.5K,$11.6K - $185.7K,B,-10.0,9320,363067,1380,113677484,1,3868920,Canal Mormón,967.0,15500.0,11600.0,185700.0,9,82374.9884057971,2
1723,Nonprofit,US,2012-10-30,$944 - $15.1K,$11.3K - $181.3K,B,-29.0,601,6976,153,19440062,-1,3777390,Covered California,944.0,15100.0,11300.0,181300.0,6,127059.22875816993,1
1724,Nonprofit,KG,2015-01-21,$931 - $14.9K,$11.2K - $178.8K,B,63.0,19133,291454,4163,81224517,649,3725310,Оштв Каналы,931.0,14900.0,11200.0,178800.0,4,19511.05380735047,1
1725,Nonprofit,IN,2006-11-25,$741 - $11.9K,$8.9K - $142.3K,B,3.0,13443,235253,2705,38757314,-760,2964540,Jesus Calls,741.0,11900.0,8900.0,142300.0,12,14328.027356746765,2
1726,Nonprofit,KZ,2010-05-21,$1K - $16.2K,$12.2K - $194.5K,B,-48.0,12912,279155,38627,113984144,-33,4053120,Телеканал Алматы / Almaty TV,1000.0,16200.0,12200.0,194500.0,8,2950.893002304088,1
1727,Nonprofit,FR,2007-09-29,$1K - $16.7K,$12.5K - $200.2K,B,52.0,5474,116176,1086,215887671,64,4171320,PrimeCrimeRu,1000.0,16700.0,12500.0,200200.0,11,198791.59392265193,2
1728,Nonprofit,KZ,2015-03-28,$763 - $12.2K,$9.2K - $146.6K,B,183.0,11166,93372,454,29745683,285,3053850,LIFE KZ,763.0,12200.0,9200.0,146600.0,3,65519.12555066079,0
1729,Nonprofit,IN,2007-09-13,$1.1K - $18K,$13.5K - $215.8K,B,27.0,12106,281694,162,140055800,34,4496070,DivineTemples Store,1100.0,18000.0,13500.0,215800.0,11,864541.975308642,2
1730,Nonprofit,RU,2010-02-16,$1.7K - $26.5K,$19.9K - $317.8K,B,91.0,16636,955724,382,232773104,47,6621330,Не может быть,1700.0,26500.0,19900.0,317800.0,8,609353.6753926702,1
1731,Nonprofit,BY,2012-04-05,$1.2K - $19.8K,$14.9K - $237.6K,B,16.0,8192,161865,37777,145687888,22,4950780,Телеканал ОНТ,1200.0,19800.0,14900.0,237600.0,6,3856.523493130741,1
1732,Nonprofit,SA,2011-04-28,$1.6K - $26.1K,$19.6K - $312.9K,B,6.0,17885,472407,72,230564844,7,6518430,المخرج خالد المنصور,1600.0,26100.0,19600.0,312900.0,7,3202289.5,1
1733,Nonprofit,IN,2016-12-29,$1.2K - $18.6K,$13.9K - $223.1K,B,19.0,17768,364489,36,120173045,9,4647030,Krishna,1200.0,18600.0,13900.0,223100.0,2,3338140.138888889,0
1734,Nonprofit,CN,2013-05-22,$1.1K - $17.5K,$13.1K - $210K,B,-12.0,3861,168208,25078,192269435,4,4375080,CCTV社会与法,1100.0,17500.0,13100.0,210000.0,5,7666.856806762899,1
1735,Nonprofit,CH,2013-07-31,$1K - $16.1K,$12.1K - $193.3K,B,-30.0,12592,191181,1037,62234338,-16,4027560,Таня Карацуба…,1000.0,16100.000000000002,12100.0,193300.0,5,60013.82642237223,1
1736,Nonprofit,US,2007-03-17,$1K - $16.5K,$12.4K - $198.2K,B,52.0,4450,93975,9,15791064,62,4128960,YouTube Social Impact,1000.0,16500.0,12400.0,198200.0,11,1754562.6666666667,2
1737,Nonprofit,IN,2010-06-19,$1.4K - $22.2K,$16.7K - $266.5K,B,90.0,25154,134115,2581,31899768,86,5551530,SHYAM SADHU,1400.0,22200.0,16700.0,266500.0,8,12359.460674157302,1
1738,Nonprofit,US,2008-08-07,$1.2K - $19.8K,$14.9K - $237.7K,B,-35.0,13818,806308,2437,296411779,-55,4951230,Mormon Channel,1200.0,19800.0,14900.0,237700.0,10,121629.78210915059,2
1739,Nonprofit,US,2014-09-08,$922 - $14.7K,$11.1K - $176.9K,B,120.0,21868,272692,234,53824473,119,3686040,Black Jaguar White Tiger,922.0,14700.0,11100.0,176900.0,4,230019.11538461538,1
1740,Nonprofit,,2012-05-09,$1.2K - $18.8K,$14.1K - $225.2K,B,4.0,21844,291279,4427,75355213,8,4691010,EMCI TV,1200.0,18800.0,14100.0,225200.0,6,17021.733227919583,1
1741,Nonprofit,DE,2012-11-16,$1.2K - $19.4K,$14.6K - $232.9K,B,5.0,940,4285,34,19827659,313,4851750,Danone D-A-CH,1200.0,19400.0,14600.0,232900.0,6,583166.4411764706,1
1742,Nonprofit,US,2006-07-25,$1.3K - $20.2K,$15.1K - $242.3K,B,41.0,39189,675864,311,81550861,25,5048070,Joel Osteen,1300.0,20200.0,15100.0,242300.0,12,262221.41800643085,2
1743,Nonprofit,BR,2016-03-18,$2.2K - $35.7K,$26.8K - $428.2K,B,1.0,25824,70056,1063,22604466,3,8920440,0n Line,2200.0,35700.0,26800.0,428200.0,2,21264.784571966135,0
1744,Nonprofit,,2009-09-29,$1.4K - $23.1K,$17.3K - $276.7K,B,36.0,920,5924,150,20071000,96,5765190,breathefreetv,1400.0,23100.0,17300.0,276700.0,9,133806.66666666666,2
1745,Nonprofit,US,2009-06-12,$1.3K - $21.5K,$16.1K - $257.9K,B,-1.0,233,13396,658,53964374,13,5373810,SouthCoastAQMD,1300.0,21500.0,16100.000000000002,257899.99999999997,9,82012.726443769,2
1746,Nonprofit,SA,2011-11-10,$1.3K - $20.1K,$15.1K - $240.9K,B,2.0,37793,379070,615,73696151,11,5018970,قناة منوعات إسلامية,1300.0,20100.0,15100.0,240900.0,7,119831.13983739837,1
1747,Nonprofit,,2015-09-16,$1.3K - $20.5K,$15.4K - $246.5K,B,-4.0,28445,78677,864,12816173,11,5136330,Regivando alves,1300.0,20500.0,15400.0,246500.0,3,14833.533564814816,0
1748,Nonprofit,KR,2011-04-25,$1.4K - $22.2K,$16.6K - $266.4K,B,46.0,1655,23986,1894,39459635,575,5549850,대한민국 보건복지부,1400.0,22200.0,16600.0,266400.0,7,20834.020591341075,1
1749,Nonprofit,TH,2013-02-11,$1.5K - $24.3K,$18.2K - $292K,B,-13.0,760,59580,1851,99882953,-13,6082350,SocialMarketingTH,1500.0,24300.0,18200.0,292000.0,5,53961.616963803346,1
1750,Nonprofit,TH,2011-07-20,$1.3K - $21.5K,$16.2K - $258.5K,B,-3.0,13782,266880,821,109541817,9,5385600,ThaiHealthMedia,1300.0,21500.0,16200.0,258500.0,7,133424.86845310597,1
1751,Nonprofit,RU,2014-11-26,$1.6K - $26.4K,$19.8K - $316.6K,B,-36.0,8295,366544,32041,425340193,-11,6596130,News-Front,1600.0,26400.0,19800.0,316600.0,4,13274.872600730314,1
1752,Nonprofit,RU,2017-08-30,$2K - $31.9K,$23.9K - $382.3K,B,-19.0,30494,196496,135,47623718,-6,7964190,Всё о тюрьме,2000.0,31900.0,23900.0,382300.0,1,352768.2814814815,0
1753,Nonprofit,DE,2012-06-20,$1.4K - $22.5K,$16.9K - $269.7K,B,46.0,14526,165417,282,42810541,52,5619750,VDSIS - Von der Strasse ins Studio,1400.0,22500.0,16900.0,269700.0,6,151810.4290780142,1
1754,Nonprofit,KR,2011-11-03,$1.2K - $19.4K,$14.5K - $232.3K,B,1.0,1292,28423,404,88620797,18,4838730,samsamstory,1200.0,19400.0,14500.0,232300.0,7,219358.40841584158,1
1755,Nonprofit,US,2015-12-21,$1.6K - $25.5K,$19.1K - $306.3K,B,1.0,52404,329052,6172,36449993,872,6382050,VPItv,1600.0,25500.0,19100.0,306300.0,3,5905.702041477641,0
1756,Nonprofit,UG,2016-07-23,$1K - $16.5K,$12.3K - $197.5K,B,98.0,1801,17146,716,15728518,62,4115040,The Kakande Ministries,1000.0,16500.0,12300.0,197500.0,2,21967.203910614524,0
1757,Nonprofit,KR,2011-01-14,$2.2K - $35.8K,$26.9K - $429.8K,B,9.0,642437,663013,270,13073794,3,8954610,사람사는세상노무현재단,2200.0,35800.0,26900.0,429800.0,8,48421.45925925926,1
1758,Nonprofit,IN,2010-12-21,$1.8K - $29.3K,$21.9K - $351.1K,B,-8.0,68628,1072860,7760,160600130,-19,7314960,Bharat Swabhiman,1800.0,29300.0,21900.0,351100.0,8,20695.893041237112,1
1759,Nonprofit,,2016-01-12,$1.5K - $23.2K,$17.4K - $278.7K,B,856.0,508,1662,148,13514861,3,5805450,Зарплата.ру,1500.0,23200.0,17400.0,278700.0,3,91316.62837837837,0
1760,Nonprofit,PE,2007-06-28,$1.5K - $24.2K,$18.2K - $290.5K,B,16.0,9629,215596,3282,118300613,62,6051930,Bethel Televisión,1500.0,24200.0,18200.0,290500.0,11,36045.28123095673,2
1761,Nonprofit,UA,2010-03-24,$2.5K - $39.9K,$30K - $479.2K,B,3.0,1138,17703,548,81365628,25,9983670,Kyivstar,2500.0,39900.0,30000.0,479200.0,8,148477.42335766423,1
1762,Nonprofit,US,2013-10-09,$2K - $31.9K,$23.9K - $382.6K,B,38.0,16519,260576,201,103575464,31,7969890,New Wine Music,2000.0,31900.0,23900.0,382600.0,5,515300.815920398,1
1763,Nonprofit,RU,2016-04-18,$2.1K - $34.1K,$25.5K - $408.6K,B,,0,0,119,21347401,136,8513400,ИНФОРМАТИЗАЦИЯ,2100.0,34100.0,25500.0,408600.0,2,179389.9243697479,0
1764,Nonprofit,RU,2008-12-11,$2.2K - $35.8K,$26.8K - $429.5K,B,9.0,37748,625384,652,98478326,11,8948640,varlamov,2200.0,35800.0,26800.0,429500.0,10,151040.3773006135,2
1765,Nonprofit,VN,2012-06-08,$2.6K - $42.1K,$31.6K - $505.6K,B,59.0,5167,74421,364,87114647,313,10532760,Wilmar CLV,2600.0,42100.0,31600.0,505600.0,6,239325.9532967033,1
1766,Nonprofit,BR,2014-11-15,$2.5K - $39.4K,$29.5K - $472.6K,B,21.0,42825,1019462,2220,220332859,45,9846330,Notícias Live,2500.0,39400.0,29500.0,472600.0,4,99249.03558558559,1
1767,Nonprofit,KR,2009-12-18,$2.4K - $37.7K,$28.3K - $452.5K,B,-91.0,22930,300489,555,157191674,36,9426090,법륜스님의 희망세상만들기,2400.0,37700.0,28300.0,452500.0,9,283228.24144144147,2
1768,Nonprofit,IN,2011-07-27,$2.9K - $45.8K,$34.4K - $549.9K,B,-30.0,46070,715416,1855,175213179,-13,11456520,Emm Pee,2900.0,45800.0,34400.0,549900.0,7,94454.54393530998,1
1769,Nonprofit,,2016-10-02,$3.8K - $60.4K,$45.3K - $724.6K,B,122.0,17166,149982,196,145509388,93,15096750,Yakari Matata Plus,3800.0,60400.0,45300.0,724600.0,2,742394.8367346938,0
1770,Nonprofit,BR,2014-10-17,$2.7K - $43.4K,$32.6K - $520.9K,B+,-11.0,66639,1426930,1569,159496614,17,10852920,MBL - Movimento Brasil Livre,2700.0,43400.0,32600.0,520900.0,4,101654.94837476099,1
1771,Nonprofit,KE,2012-11-12,$2.7K - $43K,$32.2K - $516K,B+,-35.0,9397,181953,1146,64558993,19,10749390,Jim Nduruchi RUS,2700.0,43000.0,32200.000000000004,516000.0,6,56334.19982547993,1
1772,Nonprofit,US,2007-01-03,$2.8K - $44.6K,$33.5K - $535.5K,B+,-180.0,389,296378,293,92972310,68,11157270,truthorange,2800.0,44600.0,33500.0,535500.0,12,317311.638225256,2
1773,Nonprofit,US,2011-11-16,$3.5K - $55.9K,$41.9K - $671.1K,B+,-32.0,39520,161089,136,47592704,-17,13981920,Southeastern Guide Dogs,3500.0,55900.0,41900.0,671100.0,7,349946.35294117645,1
1774,Nonprofit,RU,2014-03-07,$2.1K - $32.9K,$24.7K - $394.4K,B+,88.0,236,12008,26,30675817,182,8217690,Фруктовый Сад,2100.0,32900.0,24700.0,394400.0,4,1179839.1153846155,1
1775,Nonprofit,RU,2012-07-30,$2.2K - $34.9K,$26.2K - $418.4K,B+,53.0,457,3509,166,29900744,144,8717250,POLARIS OFFICIAL,2200.0,34900.0,26200.0,418400.0,6,180124.9638554217,1
1776,Nonprofit,UA,2009-10-12,$4K - $64.4K,$48.3K - $773K,B+,21.0,34316,662119,16675,494699283,15,16104030,Телеканал ICTV,4000.0,64400.00000000001,48300.0,773000.0,9,29667.123418290856,2
1777,Nonprofit,JP,2008-01-10,$3.4K - $54.5K,$40.9K - $653.7K,B+,159.0,735,8223,1090,39591722,254,13619430,日本財団,3400.0,54500.0,40900.0,653700.0,11,36322.68073394495,2
1778,Nonprofit,RU,2010-10-05,$0 - $0,$0 - $0,B+,-71.0,3476,215363,412,198660442,-208,-35136300,McDonaldsRussia,0.0,0.0,0.0,0.0,8,482185.53883495147,1
1779,Nonprofit,RU,2006-11-07,$4.8K - $76.2K,$57.1K - $913.8K,B+,16.0,35655,657019,8202,501748010,12,19037910,TV Center,4800.0,76200.0,57100.0,913800.0,12,61173.86125335284,2
1780,Nonprofit,IN,2010-09-12,$4.8K - $76.8K,$57.6K - $921.3K,B+,33.0,188441,1733282,3145,221275456,19,19194150,Swami Ramdev,4800.0,76800.0,57600.0,921300.0,8,70357.85564387917,1
1781,Nonprofit,IN,2007-04-13,$4.4K - $69.8K,$52.3K - $837.3K,B+,101.0,59758,583273,73,175048990,110,17443170,Nitin Das,4400.0,69800.0,52300.0,837300.0,11,2397931.3698630137,2
1782,Nonprofit,,2015-11-05,$4.8K - $77.1K,$57.8K - $924.7K,B+,55.0,47186,1343396,1349,605068698,46,19264260,Пусть говорят,4800.0,77100.0,57800.0,924700.0,3,448531.280948851,0
1783,Nonprofit,US,2010-01-30,$9K - $143.4K,$107.6K - $1.7M,B+,1.0,190232,2376474,364,320363038,5,35856600,Jubilee,9000.0,143400.0,107600.0,1700000.0,8,880118.2362637363,1
1784,Nonprofit,US,2016-11-01,$7.4K - $117.8K,$88.4K - $1.4M,B+,,0,65625,136,65189370,36,29455020,Thai Massage,7400.0,117800.0,88400.0,1400000.0,2,479333.60294117645,0
1785,Nonprofit,IN,2009-03-03,$10.4K - $166K,$124.5K - $2M,A-,32.0,157259,589132,202,155508462,47,41490600,Soul Desire,10400.0,166000.0,124500.0,2000000.0,9,769843.8712871287,2
