channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Comedy,PL,"Oct 4th, 2012",$5.1K - $81.1K,$60.8K - $972.6K,B+,16,21607,3302263,225,1020418570,23,20263380,AbstrachujeTV
Comedy,BO,"Sep 9th, 2013",$3K - $48.2K,$36.2K - $578.8K,B+,,0,0,46,21535409,502,12058830,Gamers IkkI
Comedy,LT,"Sep 10th, 2013",$3.7K - $59.8K,$44.8K - $717.1K,B+,156,66602,398985,412,89934445,141,14938590,ComedyWolf
Comedy,,"May 10th, 2017",$4.4K - $71.2K,$53.4K - $854.2K,B+,142,34457,470099,1203,253726940,90,17796030,القناة الرسمية للفنان…
Comedy,US,"Apr 4th, 2012",$5.2K - $83.6K,$62.7K - $1M,B+,-6,46749,899087,1321,537992274,15,20906640,Van Son
Comedy,IN,"Jan 29th, 2017",$3.7K - $58.4K,$43.8K - $700.9K,B+,274,202338,685034,75,56984016,206,14601750,This is sumesh
Comedy,US,"Jul 24th, 2014",$4.1K - $65K,$48.8K - $780.3K,B+,315,226794,1409306,53,114422741,216,16255560,Kyle Exum
Comedy,US,"Oct 8th, 2016",$6.7K - $107K,$80.2K - $1.3M,B+,56,95501,1376234,234,258531180,58,26739270,Sorrow TV
Comedy,IN,"Apr 29th, 2016",$3.9K - $61.9K,$46.4K - $742.8K,B+,-29,214394,3981382,85,264768974,-9,15475860,Elvish yadav
Comedy,KR,"Nov 19th, 2014",$3.5K - $56K,$42K - $671.6K,B+,-1,39471,451561,272,128621441,22,13992390,dingo freestyle
Comedy,ID,"Jan 15th, 2016",$5.2K - $83.8K,$62.9K - $1M,B+,7,59580,1063596,1737,602076392,6,20951760,Stand Up Kompas TV
Comedy,MX,"Jan 5th, 2011",$4.9K - $78.8K,$59.1K - $945.3K,B+,15,175925,2794445,192,287116290,13,19693440,MissaSinfonia
Comedy,US,"May 26th, 2008",$6.4K - $102K,$76.5K - $1.2M,B+,25,40059,3352049,326,1065194489,14,25497630,TeamFourStar
Comedy,TH,"Apr 16th, 2015",$4.3K - $68.6K,$51.5K - $823.2K,B+,38,51945,1472389,250,409714592,154,17150100,NotIsGoD เบสไวน์
Comedy,US,"Sep 27th, 2007",$4.8K - $76.6K,$57.5K - $919.5K,B+,16,21962,707343,254,873515425,6,19156980,Mountain Apple Company Inc
Comedy,IN,"Apr 22nd, 2016",$4.7K - $75.5K,$56.6K - $906.2K,B+,65,39908,330190,2113,125266960,52,18879420,Movie Scenes - Angel
Comedy,,"Apr 23rd, 2011",$5.3K - $84.8K,$63.6K - $1M,B+,21,330413,700348,72,36357926,66,21208440,Deshae Frost
Comedy,,"Aug 31st, 2016",$5.8K - $92.6K,$69.4K - $1.1M,B+,348,270512,7672485,69,534651872,172,23146500,Liza Koshy Too
Comedy,IN,"Feb 24th, 2016",$5.7K - $92K,$69K - $1.1M,B+,12,106033,943838,153,174447566,15,22995900,Samreen Ali
Comedy,VN,"Jul 2nd, 2012",$3.2K - $51.9K,$38.9K - $622.7K,B+,-28,63519,646352,60,111077435,-6,12973410,BB Trần
Comedy,PL,"Feb 10th, 2016",$3.7K - $59.5K,$44.7K - $714.6K,B+,133,40591,814446,93,172256477,120,14887020,WiP Bros.
Comedy,UA,"Jan 4th, 2013",$6.2K - $99.1K,$74.3K - $1.2M,B+,41,37889,855828,4433,601060201,33,24764190,НЛО TV
Comedy,RU,"Jul 25th, 2010",$5.1K - $81.5K,$61.2K - $978.6K,B+,117,94303,9786295,495,2021219073,41,20386920,AdamThomasMoran
Comedy,MX,"Feb 15th, 2009",$5.3K - $85.4K,$64K - $1M,B+,17,157433,9322288,102,1432420404,14,21349350,Vete a la Versh
Comedy,IN,"Dec 6th, 2016",$1.3K - $20.9K,$15.7K - $250.6K,B+,100,55724,567958,238,97432052,-33,5220720,RDC Rajasthani Comedy Junction
Comedy,,"Nov 19th, 2009",$5.2K - $83K,$62.2K - $995.8K,B+,-5,331925,4803291,154,291889175,30,20746320,Irmãos Berti
Comedy,BR,"Aug 20th, 2013",$5.5K - $87.9K,$65.9K - $1.1M,B+,52,309962,2313692,237,149689994,75,21978330,Jaqueline Sobrinho
Comedy,GB,"Jan 3rd, 2012",$469 - $7.5K,$5.6K - $90K,B+,84,10007,176908,118,21009319,-1,1875480,Canking
Comedy,US,"Jun 27th, 2006",$5.1K - $81.8K,$61.4K - $982.1K,B+,-37,30036,4516423,1088,1948358307,3,20460600,jacksfilms
Comedy,IN,"Jun 15th, 2018",$6.2K - $99.2K,$74.4K - $1.2M,B+,,0,328006,198,122693101,41,24805650,Yakshadi Raj
Comedy,MX,"Apr 3rd, 2014",$6.6K - $105.5K,$79.1K - $1.3M,B+,48,179769,5827561,319,784861082,13,26364300,PelucheEn ElEstuche
Comedy,AU,"Dec 4th, 2015",$5.9K - $93.7K,$70.2K - $1.1M,B+,33,102114,428970,148,87381706,41,23412540,GioFilms
Comedy,MA,"Feb 12th, 2013",$5.2K - $83.6K,$62.7K - $1M,B+,16,81920,1948180,105,652703879,16,20906970,Baraka lBaraka
Comedy,US,"Sep 2nd, 2013",$7.8K - $124.5K,$93.4K - $1.5M,B+,67,153803,16568926,148,1948602800,34,31123500,Liza Koshy
Comedy,GB,"May 30th, 2006",$6.2K - $99.7K,$74.8K - $1.2M,B+,-28,87910,5652575,159,1314559707,-12,24928920,TomSka
Comedy,RU,"Apr 28th, 2016",$5.1K - $82.3K,$61.7K - $987.4K,B+,60,96877,1638386,134,359616424,49,20570010,OneTwo
Comedy,FR,"Feb 25th, 2007",$7.6K - $120.9K,$90.7K - $1.5M,B+,10,96464,12780085,151,2106326529,149,30224100,Cyprien
Comedy,BR,"Apr 8th, 2011",$5.4K - $86K,$64.5K - $1M,B+,14,182015,17983845,204,1252527230,8,21491400,CanalCanalha
Comedy,US,"Sep 8th, 2014",$6.3K - $101K,$75.7K - $1.2M,B+,136,271911,1996881,164,156182908,18,25237830,Danny Gonzalez
Comedy,VN,"Dec 21st, 2015",$5.2K - $82.5K,$61.9K - $989.9K,B+,104,102771,1076081,321,240994884,69,20622300,SVM TV
Comedy,,"Apr 20th, 2017",$6.3K - $100.9K,$75.7K - $1.2M,B+,7,32577,942715,498,348826104,12,25232250,Comment Awards
Comedy,,"Nov 25th, 2016",$4.7K - $74.9K,$56.2K - $899.2K,B+,-32,58917,574531,88,165914854,-29,18732900,Rajasthani Chamak Music
